id,season,country_id,country_mean_phase,country_final_phase_wins,country_international_win_ratio
2023_40,2023,40.0,0.2129139072847682,2,0.52
2023_50,2023,50.0,0.20441176470588235,1,0.4090909090909091
2023_56,2023,56.0,0.5243288590604027,7,0.4918032786885246
2023_75,2023,75.0,0.35134281200631917,6,0.5555555555555556
2023_122,2023,122.0,0.3977502812148481,4,0.38181818181818183
2023_136,2023,136.0,0.26851851851851855,3,0.44680851063829785
2023_141,2023,141.0,0.27792207792207796,1,0.0
2023_157,2023,157.0,0.3091160220994475,3,0.4782608695652174
2023_174,2023,174.0,0.40980392156862744,6,0.5686274509803921
2023_177,2023,177.0,0.47514677103718195,2,0.2857142857142857
2023_189,2023,189.0,0.3114671814671815,3,0.5512820512820513
2023_190,2023,190.0,0.5255977496483825,1,0.24324324324324326
2024_19,2024,19.0,0.24796747967479674,5,0.5
2024_39,2024,39.0,0.4649122807017544,7,0.375
2024_40,2024,40.0,0.21203155818540434,4,0.47619047619047616
2024_50,2024,50.0,0.18518518518518517,3,0.42857142857142855
2024_56,2024,56.0,0.5052910052910052,6,0.48936170212765956
2024_75,2024,75.0,0.3022435897435897,5,0.5486725663716814
2024_122,2024,122.0,0.3675799086757991,4,0.4342105263157895
2024_136,2024,136.0,0.2125,4,0.4375
2024_141,2024,141.0,0.33405483405483405,6,0.0
2024_157,2024,157.0,0.3429824561403509,7,0.5662650602409639
2024_174,2024,174.0,0.2833333333333333,2,0.35
2024_177,2024,177.0,0.474537037037037,4,0.1935483870967742
2024_189,2024,189.0,0.36744791666666665,8,0.625
2024_190,2024,190.0,0.5195360195360196,4,0.27906976744186046
